uf,cidade,cep_inicial,cep_final
SC,ABDON BATISTA,89636000,89637999
SC,ABELARDO LUZ,89830000,89831999
SC,AGROLANDIA,88420000,88429999
SC,AGRONOMICA,89188000,89189999
SC,AGUA DOCE,89654000,89659999
SC,AGUAS DE CHAPECO,89883000,89884999
SC,AGUAS FRIAS,89843000,89844999
SC,AGUAS MORNAS,88150000,88159999
SC,ALFREDO WAGNER,88450000,88459999
SC,ALTO BELA VISTA,89730000,89734999
SC,ANCHIETA,89970000,89979999
SC,ANGELINA,88460000,88469999
SC,ANITA GARIBALDI,88590000,88597999
SC,ANITAPOLIS,88475000,88484999
SC,ANTONIO CARLOS,88180000,88189999
SC,APIUNA,89135000,89135999
SC,ARABUTA,89740000,89744999
SC,ARAQUARI,89245000,89246999
SC,ARARANGUA,88900001,88913999
SC,ARMAZEM,88740000,88744999
SC,ARROIO TRINTA,89590000,89594999
SC,ARVOREDO,89778000,89779999
SC,ASCURRA,89138000,89139999
SC,ATALANTA,88410000,88419999
SC,AURORA,89186000,89187999
SC,BALNEARIO ARROIO DO SILVA,88914000,88914999
SC,BALNEARIO BARRA DO SUL,89247000,89247999
SC,BALNEARIO CAMBORIU,88330001,88339999
SC,BALNEARIO GAIVOTA,88955000,88959999
SC,BALNEARIO PICARRAS,88380000,88384999
SC,BALNEARIO RINCAO,88828000,88829999
SC,BANDEIRANTE,89905000,89905999
SC,BARRA BONITA,89909000,89909999
SC,BARRA VELHA,88390000,88394999
SC,BELA VISTA DO TOLDO,89478000,89479999
SC,BELMONTE,89925000,89929999
SC,BENEDITO NOVO,89124000,89125999
SC,BIGUACU,88160001,88179999
SC,BLUMENAU,89000001,89079999
SC,BOCAINA DO SUL,88538000,88539999
SC,BOM JARDIM DA SERRA,88640000,88649999
SC,BOM JESUS,89824000,89824999
SC,BOM JESUS DO OESTE,89873000,89873999
SC,BOM RETIRO,88680000,88699999
SC,BOMBINHAS,88215000,88219999
SC,BOTUVERA,88295000,88299999
SC,BRACO DO NORTE,88750000,88759999
SC,BRACO DO TROMBUDO,89178000,89179999
SC,BRUNOPOLIS,89634000,89635999
SC,BRUSQUE,88350001,88359999
SC,CACADOR,89500001,89514999
SC,CAIBI,89888000,89889999
SC,CALMON,89430000,89439999
SC,CAMBORIU,88340001,88349999
SC,CAMPO ALEGRE,89294000,89294999
SC,CAMPO BELO DO SUL,88580000,88584999
SC,CAMPO ERE,89980000,89980999
SC,CAMPOS NOVOS,89620000,89632999
SC,CANELINHA,88230000,88239999
SC,CANOINHAS,89460001,89477999
SC,CAPAO ALTO,88548000,88549999
SC,CAPINZAL,89665000,89666999
SC,CAPIVARI DE BAIXO,88745000,88749999
SC,CATANDUVAS,89670000,89674999
SC,CAXAMBU DO SUL,89880000,89881999
SC,CELSO RAMOS,88598000,88599999
SC,CERRO NEGRO,88585000,88589999
SC,CHAPADAO DO LAGEADO,88407000,88409999
SC,CHAPECO,89800001,89816999
SC,COCAL DO SUL,88845000,88849999
SC,CONCORDIA,89700001,89729999
SC,CORDILHEIRA ALTA,89819000,89819999
